iran ahmad morshedloo s images of people global voices.	ايران احمد مورشيدلو وتصويره للناس الاصوات العالمية
the alleged crime took place in the house of wahidi beheshti a member of the provincial council some six months ago beheshti and his powerful supporters maintain that shakila took her own life yet many people accuse the politician of murdering the girl and suggest that he is now using his power and connections to delay or mislead the investigation.	الجريمة المزعومة حدثت في منزل واحيدي بيهيشتي عضو في المجلس المحلي منذ حوالي اشهر بيهيشتي ومويدوه الاقوياء يوكدون ان شاكيلا قد انتحرت و برغم ذلك يتهم الكثير من الناس السياسي بقتل الفتاة ويشيرون الي انه الان يستخدم نفوذه وعلاقاته لتاجيل او تضليل التحقيق
global voices community blog global voices wins google digital news initiative.	الاصوات العالمية تفوز بجايزة مبادرة اخبار غوغل الرقمية الاصوات العالمية
the message arrived at pm on july.	وصلت الرسالة في تموز يوليو في السابعة واربع عشرة دقيقة صباحا
Are you sure?	هل أنت متأكد؟
i don t have it all figured out i m human rather than convince myself that i have all the answers i reach out i understand that not everyone may have access to the same breadth of resources but if you seek support you can generally find it.	ليس لدي الحلول لكل شيء انا انسان وبدلا من اقناع نفسي بقدرتي على الاجابة على كل الاسيلة افضل ان اطلب المساعدة اتفهم عدم قدرة الجميع في الوصول الى نفس مصادر المعلومات ولكن تكون المساعدة متوفرة عموما في حال طلبها
sohu com and sina com the two leading chinese portals where the virtual and cute cops will be patrolling are already censoring their users content quite aggressively beijing based blogger liu xiaoyuan is suing sohu com for censoring some of his blogposts and four chinese lawyers have protested the un transparent arbitrary and unaccountable way in which sina com has been censoring blog posts by bloggers on its system wrote rebecca mackinnon.	و البوابتان الصينيتان الرايدتان حيث ستبدا الشرطة الافتراضية اللطيفة دورياتها هما بالاصل تقومان بمراقبة مستخدميها بشكل كبير المدون ليو كياويوان من بكين رفع دعوى على انكليزي لحجبها بعض تدويناته واحتج اربع محامين صينيين انكليزي على انكليزي الطريقة التعسفية وغير الشفافة وغير المعقولة التي تحجب فيها تدوينات بعض المدونين على نظامها من دون محاسبة كتبت ريبيكا ماك كينون
We'll find one.	سنجد واحدا.
bermuda keep on truckin global voices.	برمودا تابعوا المسير الاصوات العالمية
Tom came with Mary.	توم أتى مع ماري
in the case of global voices it will be very small fees but we hope that we can help exercise parts of the demotix photo archive that may be less attractive to commercial media our emphasis is always on people and places other media ignore a picture really does a lot for helping people understand life and ideas from faraway.	في حالة الاصوات العالمية سيكون الربح بسيط لكن نامل ان نستعمل اجزاء من ارشيف ديموتكس قد تكون غير جاذبة او هامة للاعلام التقليدي تركيزنا دايما على الاشخاص والاماكن تلك الاشياء التي تتجاهلها وسايل الاعلام الاخرى تمتلك الصورة الكثير لمساعدة الناس على فهم الحياة والافكار البعيدة عنهم
Let me go.	دَعني أذهب.
Please shut the door behind you.	من فضلك أغلق الباب خلفك.
eight days after her arrest razan ghazzawi has been charged according to an article from the lebanese daily star which reports.	بعد ثمانية ايام من اعتقالها تم توجيه عدة تهم ضد المدونة السورية رزان غزاوي وفقا لمقال نشر على صحيفة ذا ديلي ستار ليبانون اللبنانية تورد بالانجليزية الصحيفة
Don't disappoint me.	لا تخيب ظني بك!
why do mexicans eat spicy food.	لماذا يتناول المكسيكيون طعاما حارا؟
Hopefully, Tom won't be as crazy as the rest of his family when he grows up.	لنأمل ألا يكون توم بجنون عائلته عندما يكبر.
I give you my word.	أعدك بذلك
but the personal thoughts and experiences now go to the new blog i need a new beginning.	لكن الافكار والتجارب الشخصية سانشرها الان عبر المدونة الجديدة احتاج الى بداية جديدة
I wrote to Tom yesterday.	راسلت توم البارحة
French is spoken in France.	الفرنسية يتكلم بها في فرنسا.
I am afraid.	أنا خائف.
right now i m once more feeling ashamed ashamed of egypt s complicity with the israelis ashamed because i know that everytime a human being dies in gaza an egyptian has had a hand in his her death writes egyptian blogger eman.	الان انا اشعر بالخجل مرة اخرى بالخجل بسبب تواطو مصر مع الاسراييليين بالخجل بالخجل لانني اعرف انه كلما يموت شخص في غزة فان هناك يد لمصري في وفاته تكتب انكليزي المدونة المصرية ايمان
old egyptian man showing his inked finger after he voted image by jonathan rashad flickr under cc licence cc by nc sa.	مصري مسن يعرض اصبعه المغموس بالحبر بعد تصويته الصورة بواسطة جوناثان رشاد من فليكر تحت رخصة المشاع الابداعي
Do you have any Japanese magazines?	هل لديك أي مجلات يابانية؟
How much is this clock?	بكم الساعة؟
Nobody's perfect.	لا يوجد شخص معصوم من الخطأ.
Instead of going to Europe, I decided to go to America.	بدلاً من الذهاب إلى أوروبا, أنا قررت الذهاب إلى أمريكا.
twitter profile image of user windburial the user switched to this image created by park in order to show his support to park.	صورة الملف الشخصي على تويتر للمستخدم وقد قام هذا المستخدم بوضع هذه الصورة التي صممها بارك من اجل اظهار دعمه له
How many days do you usually need to get there?	كم يوماً تحتاج عادةً للوصول إلى هناك؟
like many other countries and regions around the world japan enjoys distinct seasons throughout the year.	تتمتع اليابان مثلها مثل الكثير من البلاد والمناطق حول العالم بمواسم مختلفة خلال العام
humans of colombia was created by designer maurent roa and architect gabor szentpetery during their travels the couple met mauricio romero who has joined the project and contributed some photographs while traveling they also noticed that many people didn t know much about colombia or had a negative perception of the country with this project they aim to show a different side of colombia.	انشا اناس من كولومبيا المصمم ماورنت روا والمهندس المعماري غابور سزنتبتيري خلال رحلاتهم التقى الثنايي مع ماوريسيو روميرو الذي انضم للمشروع وساهم ببعض الصور اثناء السفر لاحظوا ان العديد من الناس لا يعرفون الكثير عن كولومبيا او لديهم نظرة سلبية للبلاد لذلك يهدف هذا المشروع لاظهار جانب مختلف من كولومبيا
in other news.	قراءات اخرى
mena countries featured in gv in french posts over months.	بلدان الشرق الاوسط وشمال افريقيا ممثلة باكثر من مقالة مترجمة للفرنسية على اصوات عالمية خلال شهرين
Costs of financial services are rising in every country.	تكاليف الخدمات المالية آخذة في الارتفاع في كل بلد.
This is a small book.	هذا كتاب صغير
i blog from home now on a laptop with a dsl connection in one of the oldest fully functioning medieval cities in the world as i sit here typing this neighbor women are carrying their bread to the public oven and donkeys are hauling goods down the narrow streets of the city and tourists are picking over the displays of hand crafted souvenirs in the souks satellite dishes dot the surrounding rooftops where many women still wash laundry and prepare spices by hand you are just as likely to spot a sheep or a rooster on a roof as a cat or a swallow.	انا ادون الان من المنزل مستخدما حاسوبا محمولا مع وصلة انترنت سريعه في واحدة من اقدم مدن العصور الوسطى العاملة باقصى طاقتها في العالم و بينما اجلس هنا و اكتب هذه السطور تحمل جارتي خبزها الى الفرن العام تحمل الحمير البضايع عبر طرقات المدينة الضيقة و ينتقي السياح الهدايا الصغيره المصنوعه يدويا من السوق اطباق الاستقبال تشغل اسطح البيوت المجاورة حيث تقوم النساء ايضا بغسيلهن اليومي و اعداد البهارات لاطعمتهن تستطيع ايضا ان ترى خروفا او ديكا او قطة او طايرا يرعون بهدوء فوق هذه الاسطح
How long does it take to get to the station?	كم من الوقت يلزم للوصول إلى المحطّة.
considered a masterpiece of architecture and engineering machu picchu declared one of the new wonders of the world in never ceases to amaze.	دايما وابدا ماتشو بيتشو ملتقى المفاجيات لاعتبارها احدى روايع الفن المعماري والهندسة كواحدة من عجايب الدنيا السبع الجديدة
How is the weather?	كيف حال الطقس؟
I can't reveal my sources.	لا استطيع الكشف عن مصادرى.
I want to sleep.	أريد أن أنام.
May I sit down?	أيمكنني الجلوس؟
on december rd the world s governments will meet to update a key treaty of a un agency called the international telecommunication union itu some governments are proposing to extend itu authority to internet governance in ways that could threaten internet openness and innovation increase access costs and erode human rights online we call on civil society organizations and citizens of all nations to sign the following statement to protect global internet freedom.	تجتمع حكومات العالم يوم من ديسمبر كانون الاول لتحديث ميثاق واتفاقية هامة ورييسية لمنظمة تابعة للامم المتحدة تدعى الاتحاد الدولي للاتصالات تقترح بعض الحكومات مد سلطة الاتحاد لادارة الانترنت بطرق قد تهدد انفتاح الانترنت وتهدد الابتكار والابداع تزيد من نفقات الوصول للانترنت وتهدد حقوق الانسان على الانترنت ندعو منظمات المجتمع المدني والمواطنين من كافة انحاء العالم لتوقيع البيان التالي لحماية حرية الانترنت حول العالم
in documenting many different people speaking the same language from different regions they hope says co founder daniel bogre udell to demonstrate a cultural application of language.	يامل دانيال الشريك الموسس في المشروع بتوثيق لغات الكثير من الناس من مناطق مختلفة لاظهار ثقافة لغتهم
That's a great poem.	هذه قصيدة رائعة.
global voices meetup in cairo egypt global voices.	ملتقى الاصوات العالمية بالقاهرة الاصوات العالمية
I'm going to go.	أنا ذاهب.
bobs web site in english http thebobs com english.	موقع جوايز البوبز بالعربية
They're ignoring me.	إنهم يتجاهلونني.
the himalayan country of nepal has always fascinated trekkers climbers wildlife lovers and adrenaline junkies however if you re a lepidopterist it s the perfect place to follow your passion nepal boasts of having more than species of butterflies accounting for per cent of world s butterfly species.	لطالما سحرت دولة نيبال الواقعة في ثنايا جبال الهملايا الرحالة الجوالين ومتسلقي الجبال وعشاق الطبيعة والباحثين عن الاثارة؛ كما انه بلد اليبيدوبتيريستس النموذجي حرشفيات الاجنحة الفراشات ؛ ما يجعله مكانا مثاليا لعيش شغفهم في الواقع يوجد في نيبال ما لا يقل عن ستماية وخمسين نوعا من الفراشات اي ما يعادل في الماية من الليبيدوبتيريستس في العالم
a new website was created to gather research and more information about the history of medicine in the southeast asian region.	تم انشاء موقع اليكثروني جديد لجمع بحث ومزيد من المعلومات حول تاريخ الطب في منطقة جنوب شرق اسيا
I'll get in touch with you by phone tomorrow.	سأتواصل معك عبر الهاتف غدا.
yosra is another active blogger specialising in writing about marketing and online media she also contributes to the first newspaper supplement about tunisian blogs every week and was responsible for the tunisia blog award another blogger interested in online media and web is mehdi lemloum whose has a personal blog with emphasis on marketing public relations and tunisian soccer.	مدونة ناشطة اخرى يسرى مختصة بالكتابة عن التسويق والاعلام على الانترنت تساهم ايضا في اول ملحق صحفي اسبوعي عن المدونات التونسية وهي المسوولة عن جايزة تونس للتدوين للعام مهدي لملوم مدون اخر مهتم بالاعلام على الانترنت والويب مدونته الشخصية تركز على التسويق والعلاقات العامة وكرة القدم في تونس
traveling alone has its advantages you make your schedules you set the rythm you decide when to leave and how to arrive i always tell my friends that for an unaccompanied trip you first need to be open to making new friends.	السفر له عدة فوايد باستطاعتك ترتيب مواعيدك يمكنك تحديد الايقاع ان تقرر متى وكيف الوصول اقول لاصدقايي دايما عند السفر وحيدا عليك اولا ان تكون منفتح لتكوين صداقات جديدة
back then iranian authorities claimed that majid tavakoli dressed as a woman to escape after delivering a speech in tehran on student day however human rights activists in iran published a report from an eyewitness saying all the pictures published by the state media are false and a clear use of immoral means against student and civil activists in iran at the time hundreds of iranian men photographed themselves dressed as women in hijab to support tavakoli.	في ذلك الوقت ادعت السلطات بان مجيد توكلي ارتدى زيا نساييا ليتمكن من الهرب بعد القايه لخطاب في طهران في يوم الطالب ولكن ناشطو حقوق الانسان نشروا تقريرا من شاهد عيان يقول كل الصور التي يتم نشرها عن طريق اعلام الدولة مزيفة وهذا استخدام واضح لوسايل غير اخلاقية ضد الطلبة والناشطين المدنيين في ايران في ذلك الوقت قام ميات من الرجال بتصوير انفسهم وهم يرتدون زيا نساييا وحجابا لدعم مجيد توكلي
We succeeded!	نجحنا!
You're such a chicken.	يالك من جبان.
I really wish to see you today.	حقا أريد رؤيتك اليوم.
in an interview to dnipropetrovsk tv channel sukhomlyn explained uk ru that the administrators use the hospital s account to tweet about the services provided by the institution while encouraging facebook uses to discuss their quality on its official page for instance one of the first issues raised by the patients included long waiting lines at the hospital.	في حوار مع القناة التاسعة في دنيبروبتروفسك اوضح سوخوملن استخدام الادارة والمديرين لحساب المستشفى على تويتر لارسال رسايل عن الخدمات التي تقدما الموسسة بالاضافة الى تشجيع مستخدمي فيسبوك لمناقشة جودة المستشفى على الصفحة الرسمية على سبيل المثال احدى القضايا المطروحة من قبل احد المرضى هي الطوابير الطويلة التي تتطلب الانتظار كثيرا في المستشفى
She took off the lid of the box.	أزاحت غطاء الصندوق.
the adoption of the local content policy framework in ghana followed in however it is still pending parliamentary endorsement the latter is now more urgent than ever as finding employment is a preoccupation for an increasing number of ghanaian citizens.	امتد تطبيق سياسة الشراكة المحلية في غانا امتد في ولكنه يظل في احتياج الى الموافقة البرلمانية وتعتبر هذه الموافقة من الاهمية بمكان وذلك لاحتياج مواطنو غانا المتزايدين الى التوظيف
march ngo hosted a conference on the illegal practices of the cyber crime unit in lebanon the organization posted on youtube testimonies of internet users who were questioned by the country s cybercrime bureau for expressing themselves online.	استضافت منظمة مارش موتمر عن الممارسات الغير قانونية لمكتب مكافحة الجرايم الالكترونية نشرت المنظمة شهادات مستخدمي انترنت قام المكتب بالتحقيق معهم اثر تعبيرهم عن انفسهم على الانترنت وهي شهادات موثقة بالفيديو
the new wsfm logo displaying sao paulo as the host credit divulgacao.	شعار الجديد يعرض مدينة ساو باولو لاستضافة
Tom told us what to do.	أخبرنا توم بما علينا فعله.
egypt more female genital mutilation please global voices.	مصر المزيد من ختان البنات الاصوات العالمية
for the medium organization award the prize went to solid women a video made by fonkoze haiti s largest microfinancing organization which shows the impact the organization s programs has had on different women.	لجايزة المنظمات المتوسطة فاز فيديو نساء متماسكات فيديو تم بواسطة فونكوزي اكبر منظمة في هايتي لتقديم القروض الصغيرة والذي يعرض تاثير برامج المنظمة على خمسة سيدات مختلفة
from onagawa hospital i photographed a commercial street while climbing slope from onagawa school to marinpal road as i actually walked over many raw fish were on the ground http twitpic com s e.	قمت بتصوير شارع تجاري من مستشفى اوناجاوا اثناء تسلقي منحدر من مدرسة اوناجاوا الى طريق مارينبال اثناء سيري وجدت الكثير من الاسماك الحية ملقاة على الطريق
gv how are you financing this event there might be other blogging fans in the region who would be interested in knowing your strategy in order to organize their own events.	الاصوات العالمية كيف تمولون هذه الفعالية؟ قد يتواجد معجبين اخرين بالمدونات في المنطقة مهتمين بمعرفة استراتيجيتكم لينظموا بها فعاليتهم الخاصة
one thing is sure israel is now a fact it s a fait accompli whether its enemies like it or not but still it has to show more resilience towards the palestinians as it is now in a strong position capitalizing on their weaknesses to go ahead with its intransigent policies will just perpetuate the current conflict.	شيء واحد اكيد اسراييل هي امر واقع الان هذا امر منته سواء اعجب ذلك اعداءها ام لا ولكن ما يزال عليها ايداء المزيد من المرونة تجاه الفلسطينيين لانها الان في موقف القوي استغلال ضعفهم للاستمرار في سياساتها المتعنتة لن ينفع بشيء الا في اطالة امد الصراع
The force of the wind made it difficult to walk.	قوة الريح جعلت المشي صعباً.
legalizing the sale of marijuana once again they focus on things that don t make us improve as a country really pepe mujica stop messing with us.	اباحة بيع المريجوانا انهم يركزون على الامور التى التى لاتنمى بلدنا مرة اخرى حقا موخيكا فلتتوقف عن العبث معنا
best photo from kiev.	وافضل صورة من كييف
Why doesn't he send me letters anymore?	لِمَ لَمْ يعد يرسل لي رسائلا؟
We still have to do that.	ما زال يتوجب علينا فعل ذلك.
Everything is fine.	كل شيء على ما يرام.
Why are you here?	لماذا أنت هنا؟
desert girl from kuwait zooms into a new role for women in the police force go kuwaiti women go.	المدونة فتاة الصحراء من الكويت تتكلم عن دور جديد للمراة في قوة الشرطة تحية للمراة الكويتية
like global voices demotix was founded at the cross roads of grassroots activism and journalism with two principles in mind freedom of speech and freedom of information our top stories often overlap.	كما هو الحال مع الاصوات العالمية تاسس موقع ديموتكس عند التقاء النشاط الشعبي بالصحافة الشعبية مع مبداين اساسيين حرية التعبير وحرية المعلومات غالبا ما تتلاقى مواضيع مقالاتنا الرييسية
feriani s case quickly gained public sympathy as campaigns and protests calling for his immediate release were organized.	الا ان قضية سمير حظيت سريعا بالتعاطف الشعبي فتم انشاء العديد من الحملات والاحتجاجات الداعية لاطلاق سراحه فورا
the plural youth video festival set out to recognize youth as powerful agents of social change in the awards ceremony they commended young filmmakers for their winning efforts.	عقد مهرجان بلورال لافلام الفيديو للاعتراف بالشباب كاداة قوية للتغير المجتمعي؛ تم مدح صغار صناع الافلام في حفل الجوايز لمجهوداتهم الرابحة
sandra viviana cuellar was a community leader in cali valle de cauca she defended the natural resources of her community s land from the palm oil industry she was murdered in at age here s her postcard.	ساندرا فيفانا كيار قايدة مجتمعية في كالي فالي دي كاوكا دافعت عن الموارد الطبيعية في مجتمعها من صناعة زيوت النخيل وقتلت في عام بعمر عاما وفيما يلي البطاقة التعريفية لها
Mary had a tiff with her boyfriend.	تشاجرت ماري مع حبيبها .
Tom is big.	توم كبير
The Japanese like to travel in groups.	يحب اليابانيون السفر في مجموعات.
I wanted to hit him, but he ran away from me.	أردت أن أضربه و لكنه هرب مني.
The good thing about this electronic dictionary is that it's easy to carry.	من محاسن القاموس الإلكتروني أنه سهل الحمل.
at the end of tuesday december after being forbidden from returning to the village urutau and other representatives of the group who were evicted from the building joined with students to occupy the rectory of the state university of rio de janeiro uerj they asked for a meeting to discuss the museum of the indian project.	في نهاية يوم الثلاثاء ديسمبر كانون الاول وبعد حرمانه من العودة الى القرية انضم اوروتاو وغيره من ممثلي الجماعة الذين طردوا من المبنى الى الطلاب لاحتلال مكتب رييس جامعة ولاية ريو دي جانيرو وطلبوا عقد اجتماع لمناقشة مشروع متحف السكان الاصليين
this grants program makes funding available to first nations metis and inuit communities to pay for equipment digitization technical staff and travel to and from trainings five rounds of funding have been completed and a sixth call for proposals recently closed in march examples of projects funded by the indigitization grant program include funds awarded to.	يتيح برنامج المنح هذا التمويل للامم الاولى مجتمعات ميتيز واينويت الدفع من اجل المعدات والموظفين الفنيين والسفر من والى التدريبات وقد انجزت خمس جولات من التمويل واغلقت الدعوة السادسة لتقديم مقترحات موخرا في اذار مارس ومن الامثلة علی المشروعات الممولة من برنامج
although public support of the government s decision appeared strong the chemical castration itself is a highly controversial issue especially if one approaches it from a human rights perspective however many still showed unyielding support for the measure and even went as far as denouncing human rights groups for siding with criminals.	على الرغم من التاييد الواسع لقرار الحكومة الا ان الاخصاء الكيميايي في حد ذاته يعد قضية جدلية كبيرة خاصة من منظور حقوق الانسان مع ذلك يتمسك الكثير بموقفهم الداعم للقرار بل وابعد من ذلك بشجب واستنكار مناصري حقوق الانسان لوقوفهم بجانب مرتكبي الجرايم
evidence documenting the destructive effects of ice enforcement paints a clear picture as to the devastating toll these policies are taking on our society we must stand together to protect our communities and call for an end to destructive policies that separate our families and destroy the social fabric of our communities.	ترسم الدلايل التي توثق النتايج المدمرة لقوانين ادارة الهجرة والجمارك صورة واضحة للخساير الكارثية التي تتسبب بها تلك السياسات لمجتمعنا يجب علينا ان نتحد لنحمي مجتمعاتنا وندعو لوضع نهاية لهذه السياسات المدمرة التي تفصل عايلاتنا وتدمر النسيج الاجتماعي لمجتمعاتنا
let s work together.	دعونا نعمل معا
uspensky used the autocomplete suggestions to determine the top stereotype for people of a particular region in russia muscovites for instance were found to be unkind while the defining characteristic of people from st petersburg is that they don t like muscovites.	استخدم اوسبينسكي اقتراحات الاكمال التلقايي ليحدد الصورة النمطية الاكثر شيوعا لاهالي منطقة معينة في روسيا فوجد ان سكان موسكو على سبيل المثال قساة في حين ان السمة المميزة لاهالي سان بترسبرج هي انهم لا يحبون سكان موسكو
This question isn't easy.	هذا السؤال ليس سهلاً.
the un humanitarian appeal for syrian refugees is only per cent funded due to the shortage in funding the most vulnerable syrian refugees in jordan receive approximately jd a month the equivalent of us less than a day this means that more than per cent of syrian refugees in jordan are living below the local poverty line syrian refugees also struggle in jordan to find jobs to help them survive since it is illegal for most of them to work under jordanian law so they accept low paying and odd jobs that jordanians usually would not fill if they are caught they risk being deported back to syria some children have also been forced to work to secure food for their families.	اطلقت الامم المتحدة نداء انسانيا لتمويل اعمال اللاجيين السوريين ولكن لم يتم تمويل سوى بالمية من كامل المشروع وبسبب النقص في التمويل فان اللاجيين السوريين الاسوا حالا في الاردن يحصلون على حوالي دينارا اردنيا في الشهر اي ما يعادل دولارا امريكيا اقل من دولار واحد في اليوم وهذا يعني ان بالمية من اللاجيين السوريين في الاردن يعيشون تحت خط الفقر المحلي يعاني اللاجيون السوريون في الاردن ايضا من صعوبة العثور على عمل يعينهم على البقاء على قيد الحياة لان العمل يعتبر غير قانوني لمعظمهم بموجب القانون الاردني مما يدفعهم لقبول بوظايف غريبة ومنخفضة الاجر يرفض الاردنيون عادة العمل بها في حال ضبطوا متلبسين فانهم يتعرضون لخطر الترحيل الى سوريا هناك ايضا بعض الاطفال الذين اجبروا على العمل لتامين الطعام لعايلاتهم
I don't want it anymore.	لم أعد أريدها.
polandian writes about the so called safe house near warsaw poland on cold united bolot of eyakutiaposts a video tutorial on how to build an igloo.	في مدونة بولانديان نشر مقال عن ما يسمى منزل امن قرب وارسو بولندا بينما قام بولوت في موقع كولد يونايتيد التابع لاي ياقوتيا بوضع فيديو تعليمي يوضوح كيفية بناء بيت جليدي
us politics no thanks pass the tomatoes global voices.	هل تريد سياسة امريكية؟ لا شكرا ساختار الطماطم الاصوات العالمية
noha stood bravely on behalf of all the girls and women in egypt.	لقد وقفت نهى بشجاعة بالنيابة عن جميع فتيات ونساء مصر
You must study hard.	عليك أن تدرس جاهداً.
"What time is it?" "It's 3:20."	"كم الساعة الآن؟" "إنها الثالثة وعشرون دقيقة."
I'm proud of myself.	أنا فخورٌ بنفسي.
shwedagon pagoda yangon myanmar.	شويداغون باغودا يانغون بورما
Definitely!	قطعاً
When will you leave?	متى ستغادر؟
as in my parents description to eid magic lantern rope swing and ice cream and juice vendors.	كما في ذكريات امي وابي وهم يوصفون العيد صندوق العجايب مراجيح العيد وبايع العصاير
times have changed since and krishnakumar has reasons to show how he talks about the change in trend going abroad for a better living according to him is a thing of the past.	لقد تغير الزمن منذ عام والمدون لديه اسباب لكي يرينا كيف فهو يتكلم عن التغير في الاتجاه الذهاب الى الخارج لتحسين الوضع المعيشي بالنسبة له هو شيء من الماضي
the response was incredible says isbel diaz founder of the environmental group and it prompted us to perform the first action edit a digital newsletter the group now publishes a free digital newsletter to denounce anti ecological depredations in the urban environment.	يقول ايزابل دياز موسس المجموعة البييية الاستجابة كانت رايعة وشجعتنا على المضي قدما في الاجراء الاول تم اعداد رسايل اخبارية رقمية تنشر الان المجموعة رسايل اخبارية رقمية مجانية لادانة السلب غير البييي الذي يتم على البيية العمرانية
a cartoon by badiucao published on september titled northkoreanukes dictators are dictators own nightmare.	صور كاريكتورية من قبل نشرت في السادس من سبتمبر ايلول تحت عنوان الديكتاتورين هم كابوس الديكتاتورين
egypt graffiti over presidential palace walls global voices.	مصر جرافيتي على جدران القصر الجمهوري الاصوات العالمية
stop impunity in southeast asia global voices.	اوقفوا الافلات من العقاب في جنوب شرق اسيا الاصوات العالمية
What do you expect to find here?	ماذا تتوقع أن تجد هنا؟
a new report from the university of toronto s citizen lab looks at the use of hacking team s remote control system rcs by the government of saudi arabia as part of a broader campaign of information control.	ينظر تقرير لمعمل المواطن بجامعة تورنتو في استخدام الحكومة السعودية لنظم التحكم عن بعد والذي طوره فريق هاكينج تيم كجزء من حملة هدفها التحكم بالمعلومات
My aunt gave me a book for Christmas.	أهدتني خالتي كتابًا في عيد ميلاد المسيح.
gsugranyes es dad dad the king of bel.	بابا بابا ملك بلجيـ
I guess I'd better get back to work.	لعله من الأفضل أن أعود لعملي.
welcome to the global voices podcast in this edition you ll hear more from the the global voices summit which took place in nairobi kenya back in july.	اهلا بكم في بودكاست الاصوات العالمية في هذه النسخة ستعرفون المزيد عن موتمر الاصوات العالمية الذي عقد في نيروبي كينيا في يوليو تموز السابق
the winners are.	والفايزون هم
I remember seeing him somewhere before.	أتذكر بأني رأيته من قبل في مكان ما.
swedish foreign minister carl blidt who is on a trip in iran won t go back to sweden now because there is more snow in iran.	ليس على الوزير الاستعجال بالعودة الى السويد الان فهناك الكثير من الثلوج في ايران
rudeedee asks.	تساءل
You should swear on the Bible.	ينبغي أن تقسم ويدك على الكتاب المقدس.
thank you milton.	شكرا ميلتون
I know.	أعلم ذلك.
the capital damascus today joined the protests too with videos showing thousands protesting popping online this video by mohamed k shows syrians protesting outside the zaid and al hassan mosque.	بدورها انضمت العاصمة دمشق الى موجة الاحتجاجات وبدات مقاطع الفيديو بملء الانترنت كهذه المشاهد التي رفعها عن تظاهرات امام مسجد زيد والحسن
No one came except Mary.	لم يأت أحد سوى ماري.
in public spaces street art or urban art represents the voice of the community marginal groups and young people that strive to be heard often defying the notion of private property latin america is not an exception for this some of latin american street art is distinct from what is created by the hip hop movement focusing on political messages and stories of struggle that speak directly to the viewer.	في الاماكن العامة يمثل فن الشارع صوت المجتمع والجماعات المهمشة والشباب الذي يجاهد لارسال صوته ورسالته غالبا تتحدى مفهوم الملكية الخاصة لا تعد امريكا اللاتينية استثناء لذلك يختلف بعض فن الشارع في امريكا اللاتينية عن ذلك المنتج بواسطة حركات الهيب هوب مع التركيز على الرسايل السياسية وقصص الكفاح التي تخاطب المشاهد مباشرة
Whether he comes or not, I'll go.	سأذهب بغض النظر عن مجيئه.
I have heard the story.	سمعت تلك القصة من قبل.
Which color do you like more, blue or red?	أي لون تفضل؟ الأزرق أم الأحمر؟
as we sat in a tented school that was being prepared we felt the children s eagerness to resume their educations many had been out of school for the past four years but excitedly recounted what they still remembered.	عندما جلسنا في الخيم التي كان يتم تحضيرها لتصبح مدرسة شعرنا بتوق الاطفال لمتابعة تعليمهم العديد منهم اضطر لترك المدرسة خلال السنوات الاربع الفايتة لكنهم يروون لنا بحماس ما يتذكرونه منها
Come along with me.	تعال معي.
He took a picture of the koala.	أخذ صورة للكوالا.
palestine syria a tale of two women global voices.	فلسطين سوريا حكاية امراتين الاصوات العالمية
turkey riot police continue to clash with kurds celebrating newroz global voices.	تركيا تواصل شرطة مكافحة الشغب الاشتباك مع الاكراد الذين يحتفلون بعيد النيروز الاصوات العالمية
at the moment iranians often encounter a firewall when trying to access websites that appear antagonistic towards the government or the nation s islamic ideals the report did not make mention of the legality of circumvention tools but according to iran s list of computer crimes the distribution of both circumvention technology and instructions to use such tools are both illegal violating these laws can result in severe punishment.	وفي الوقت الراهن غالبا ما يجد الايرانيون انفسهم امام جدار ناري عند محاولتهم الدخول لمواقع قد تبدو ضد الحكومة او ضد المبادي الاسلامية للامة ولم يشر التقرير لمشروعية الوسايل لتفادي هذا الجدار الناري لكن حسب القايمة الايرانية للجرايم المعلوماتية فتسهيل الحصول على هذه التكنولوجيات والتعليمات حول كيفية استخدامها هو عمل غير شرعي وعدم التقيد بهذه القوانين يمكن ان يودي لعقوبات قاسية
azerbaijan christmas is catching up among the youth in baku though not widely celebrated in azerbaijan aygun janmammadova recommends a filo strudel for mushrooms and cheese lovers and more azerbaijan cuisine is shared on az cookbook.	اذربيجان وينتشر الاحتفال بالكريسماس في باكو بالرغم من عدم انتشار هذا الاحتفال في اذربيجان بصورة عامة تزكي ايجون جانمامادوفا وجبة فيلو ستروديل لمحبي الجبنة والمشروم والمزيد من المطبخ الاذربيجاني موجود في مدونة كتاب الطبخ من الالف الى الياء
elmer and wendy seek to capture spontaneous moments of these extraordinary people reflecting their smile passion curiosity hard work shyness kindness and most important their uniqueness.	المر وويندي يسعيان لالتفاط لحظات عفوية من هولاء الناس الغير عاديين بعكس الابتسامة العاطفة الفضول العمل الجاد الخجل والعطف واهم ما يتصفون به
demonstrators show their joy by nd mbee on flickr used with his permission.	تظاهرات تظهر فرحة المواطنين تصوير عبر موقع فليكر استخدمت بتصريح
Just follow your heart.	إتبع قلبك فحسب.
Did you find your passport?	أوجدت جوازك؟
She was mad at her son.	هىَ كانت غاضبة علىَ إبنها.
japan the only native japanese imam in tokyo global voices.	اليابان الامام الوحيد ذات الاصول اليابانية في طوكيو الاصوات العالمية
Tom didn't take it with him.	توم لم يأخذها معه.
